num,en,jp,progression,my
0,1,last,続く、持続する、(天候・体力・食品などが)持ちこたえる,0,0
1,2,affect,に影響を及ぼす；を感動させる,0,0
2,3,claim,と主張する；を（自分のものとして）要求する,0,0
3,4,ship,を出荷する、を輸送する,0,0
4,5,issue,問題（点）；発行（物）；発表,0,0
5,6,purchase,を購入する,0,0
6,7,occur,起こる；心に浮かぶ；現れる,0,0
7,8,deal,を処理する；を商う；を分配する,0,0
8,9,consume,を消費する；を食べる，飲む,0,0
9,10,present,を提示する、を進呈する,0,0
10,11,fire,を解雇する、を首にする,0,0
11,12,regard,を見なす；を見る；を評価する,0,0
12,13,fine,に罰金を科す,0,0
13,14,transfer,を移す；を伝える；移る；乗り換える,0,0
14,15,decline,減少する；衰退する；を断る,0,0
15,16,eliminate,を取り除く,0,0
16,17,indicate,を指し示す；を述べる,0,0
17,18,ensure,を確実にする（≒make sure）；を守る,0,0
18,19,expand,（を）拡大する；（を）詳説する,0,0
19,20,address,（問題など）に対処する；に演説する；（手紙など）を（～宛てに）出す（to）,0,0
20,21,identify,を特定する；を（～と）同一視する（with）,0,0
21,22,construct,を建設する（＝build）；を構成する,0,0
22,23,invest,（を）投資する；に（～を）与える（with）,0,0
23,24,obtain,を得る,0,0
24,25,struggle,闘い；懸命の努力,0,0
25,26,counter,～と反論する、～に反対する,0,0
26,27,associate,を結び付けて考える；（～と）交際する（with）,0,0
27,28,register,を記録する，登録する；（～に）登録する（for）,0,0
28,29,reveal,を明らかにする；を見せる,0,0
29,30,species,（生物の）種；種類,0,0
30,31,diet,(日常の)食べ物、療養食,0,0
31,32,site,用地，場所；跡地；（ウェブ）サイト,0,0
32,33,cell,細胞；独房；電池,0,0
33,34,facility,施設，設備；機能；才能,0,0
34,35,practice,実践，実行；（社会の）慣習；練習,0,0
35,36,resident,居住者；滞在者,0,0
36,37,option,選択（の自由）；選択肢,0,0
37,38,organ,器官，臓器；組織；（パイプ）オルガン,0,0
38,39,critic,批判する人、批評家,0,0
39,40,region,地域；領域；部位,0,0
40,41,tax,税金、税,0,0
41,42,access,利用，入手；接近（の機会・方法・権利）,0,0
42,43,virus,ウイルス；（感染症の）病原体,0,0
43,44,bill,請求書；【英】勘定書（≒【米】check）；法案,0,0
44,45,evidence,証拠,0,0
45,46,attempt,を試みる，企てる,0,0
46,47,account,説明；勘定；口座,0,0
47,48,theory,学説；理論；原理；推測,0,0
48,49,factor,要因、要素,0,0
49,50,stock,在庫品；蓄え；株,0,0
50,51,chemical,化学の，化学的な,0,0
51,52,media,マスメディア、マスコミ,0,0
52,53,income,収入；所得,0,0
53,54,supply,を供給する,0,0
54,55,shortage,不足、欠如,0,0
55,56,poverty,貧困、欠乏,0,0
56,57,criminal,犯人、犯罪者,0,0
57,58,budget,予算；経費,0,0
58,59,authority,〔通例 the ～ties〕（関係）当局；権威；権限,0,0
59,60,genome,ゲノム,0,0
60,61,atmosphere,〔the ～〕大気；雰囲気,0,0
61,62,aid,を援助する，助ける（≒help）,0,0
62,63,measure,措置、程度、基準,0,0
63,64,subject,話題；科目；主題；被験者,0,0
64,65,decade,10年間,0,0
65,66,weapon,兵器，武器（≒arms）,0,0
66,67,nutrient,栄養分、栄養になるもの,0,0
